,city,cloudiness,humidity,latitude,longitude,max_temperature,wind_speed,country,datetime
0,provideniya,90,81,64.38,-173.3,50.0,11.18,RU,1595302095
1,chokurdakh,55,31,70.63,147.92,83.53,14.41,RU,1595302300
2,sao joao da barra,0,90,-21.64,-41.05,70.48,10.2,BR,1595302300
3,bowen,98,46,-20.02,148.23,73.4,12.75,AU,1595302300
4,punta arenas,3,92,-53.15,-70.92,30.2,6.93,CL,1595302300
5,san patricio,0,82,19.22,-104.7,79.48,8.37,MX,1595302300
6,puerto cabezas,74,84,14.04,-83.39,78.73,6.44,NI,1595302300
7,sao filipe,41,82,14.9,-24.5,75.7,9.84,CV,1595302300
8,brooks,5,61,50.58,-111.89,69.01,2.28,CA,1595302301
9,ballina,100,52,-28.87,153.57,66.2,14.99,AU,1595302301
10,arraial do cabo,0,84,-22.97,-42.03,70.27,17.96,BR,1595302301
11,povrly,85,94,50.67,14.16,62.01,2.46,CZ,1595302301
12,east london,75,76,-33.02,27.91,53.6,8.05,ZA,1595302021
13,kodiak,40,46,57.79,-152.41,73.4,9.17,US,1595302301
14,tuktoyaktuk,90,80,69.45,-133.04,41.0,12.75,CA,1595302301
15,worpswede,20,100,53.22,8.93,52.0,2.24,DE,1595302302
16,moncton,20,88,46.12,-64.8,69.8,9.17,CA,1595302085
17,bambous virieux,75,49,-20.34,57.76,69.8,13.87,MU,1595302076
18,hithadhoo,100,77,-0.6,73.08,84.02,11.52,MV,1595302068
19,butaritari,75,66,3.07,172.79,83.37,3.67,KI,1595302287
20,upernavik,63,58,72.79,-56.15,46.9,6.08,GL,1595302302
21,ancud,75,100,-41.87,-73.82,48.0,3.36,CL,1595302302
22,dikson,100,95,73.51,80.55,39.72,12.55,RU,1595302303
23,bluff,86,80,-46.6,168.33,51.53,3.24,NZ,1595302303
24,beringovskiy,81,74,63.05,179.32,47.21,9.31,RU,1595302303
25,periceiu,48,93,47.23,22.88,61.0,1.12,RO,1595302303
26,kapaa,90,69,22.08,-159.32,80.6,16.11,US,1595302291
27,kharovsk,96,93,59.96,40.19,59.86,5.77,RU,1595302303
28,svetlogorsk,0,89,52.63,29.73,59.13,5.37,BY,1595302139
29,paita,49,85,-5.09,-81.11,61.72,11.01,PE,1595302303
30,rikitea,91,72,-23.12,-134.97,67.24,19.57,PF,1595302304
31,kvarkeno,4,76,52.08,59.73,70.32,9.46,RU,1595302304
32,port alfred,0,68,-33.59,26.89,57.67,3.6,ZA,1595302072
33,puerto ayora,99,88,-0.74,-90.35,69.01,5.01,EC,1595302304
34,busselton,100,44,-33.65,115.33,64.0,18.81,AU,1595302304
35,mahebourg,75,49,-20.41,57.7,69.8,13.87,MU,1595302105
36,avarua,100,78,-21.21,-159.78,77.0,18.34,CK,1595302304
37,mao,0,88,39.89,4.27,71.6,4.7,ES,1595302305
38,saint george,1,12,37.1,-113.58,98.6,9.17,US,1595302305
39,atuona,35,78,-9.8,-139.03,80.4,18.41,PF,1595302072
40,ushuaia,0,92,-54.8,-68.3,28.4,4.7,AR,1595302305
41,cidreira,55,82,-30.18,-50.21,65.35,5.03,BR,1595302105
42,xambioa,27,52,-6.41,-48.54,72.19,1.3,BR,1595302305
43,novyy urengoy,100,84,66.08,76.63,56.35,14.0,RU,1595302305
44,diego de almagro,100,82,-26.37,-70.05,46.54,1.59,CL,1595302305
45,tuatapere,80,77,-46.13,167.68,49.96,5.66,NZ,1595302306
46,jiujiang,100,79,29.73,115.98,80.76,3.33,CN,1595302306
47,storsteinnes,100,93,69.24,19.23,53.6,11.41,NO,1595302306
48,ambunti,47,46,-4.24,142.84,93.81,2.37,PG,1595302306
49,indiana,1,100,40.0,-86.25,75.2,5.64,US,1595302202
50,olinda,40,69,-8.01,-34.86,77.0,8.05,BR,1595302306
51,anito,99,63,12.45,125.29,88.3,6.35,PH,1595302306
52,vila velha,75,100,-20.33,-40.29,66.2,2.24,BR,1595302299
53,khatanga,93,54,71.97,102.5,56.88,4.32,RU,1595302067
54,kaeo,35,3,-35.1,173.78,61.0,7.0,NZ,1595302307
55,wilmington,1,83,34.23,-77.94,82.4,3.36,US,1595302205
56,faanui,35,82,-16.48,-151.75,77.61,25.23,PF,1595302307
57,yar-sale,100,81,66.83,70.83,56.88,7.54,RU,1595302307
58,jamestown,1,77,42.1,-79.24,66.2,0.63,US,1595302273
59,laguna,1,53,38.42,-121.42,75.0,6.93,US,1595302057
60,verkhoyansk,99,37,67.54,133.38,89.85,6.91,RU,1595302307
61,hermanus,2,88,-34.42,19.23,52.0,6.15,ZA,1595302307
62,poum,70,64,-20.23,164.02,71.47,15.14,NC,1595302308
63,mataura,100,75,-46.19,168.86,51.67,3.53,NZ,1595302080
64,merauke,66,78,-8.47,140.33,80.19,16.11,ID,1595302308
65,seoul,75,61,37.57,126.98,80.6,2.66,KR,1595302057
66,hofn,93,75,64.25,-15.21,52.61,1.16,IS,1595302089
67,sao raimundo nonato,69,55,-9.02,-42.7,70.11,5.39,BR,1595302308
68,hilo,90,65,19.73,-155.09,82.4,8.05,US,1595302308
69,tupik,100,89,54.43,119.93,54.97,6.46,RU,1595302308
70,chokwe,0,92,-24.53,32.98,55.06,1.97,MZ,1595302309
71,aasiaat,100,86,68.71,-52.87,42.3,4.79,GL,1595302309
72,barrow,90,86,71.29,-156.79,33.8,8.05,US,1595302309
73,alice springs,90,66,-23.7,133.88,55.4,14.99,AU,1595302053
74,tortoli,5,83,39.93,9.66,71.6,9.17,IT,1595302309
75,port lincoln,92,67,-34.73,135.87,54.81,6.69,AU,1595302309
76,port augusta,100,58,-32.5,137.77,57.99,9.17,AU,1595302309
77,khasan,0,53,42.43,130.64,80.87,6.85,RU,1595302310
78,tasiilaq,97,87,65.61,-37.64,42.8,3.36,GL,1595302310
79,greer,1,83,34.94,-82.23,78.01,4.03,US,1595302310
80,muros,8,77,42.78,-9.06,66.99,5.01,ES,1595302310
81,trinidad,14,67,-14.83,-64.9,74.39,1.48,BO,1595302310
82,evansville,1,88,37.97,-87.56,73.99,3.51,US,1595302268
83,sisimiut,100,78,66.94,-53.67,50.2,4.25,GL,1595302310
84,longyearbyen,40,81,78.22,15.64,48.2,6.93,SJ,1595302310
85,bonavista,86,90,48.65,-53.11,59.72,15.95,CA,1595302310
86,college,75,72,64.86,-147.8,69.8,11.65,US,1595302311
87,new norfolk,81,73,-42.78,147.06,59.0,4.0,AU,1595302311
88,okitipupa,71,98,6.5,4.78,72.14,2.04,NG,1595302311
89,cimislia,0,93,46.52,28.78,59.0,3.36,MD,1595302311
90,fairview,1,45,40.81,-74.0,87.8,8.99,US,1595302267
91,eskil,0,58,38.4,33.41,70.88,15.61,TR,1595302023
92,zhireken,31,41,52.82,117.31,65.44,12.91,RU,1595302311
93,cherskiy,97,27,68.75,161.3,77.47,5.48,RU,1595302311
94,saldanha,0,87,-33.01,17.94,44.6,3.36,ZA,1595302089
95,cap malheureux,73,62,-19.98,57.61,69.01,4.0,MU,1595302312
96,chapais,90,87,49.78,-74.85,53.6,10.29,CA,1595302021
97,namibe,0,59,-15.2,12.15,64.98,4.43,AO,1595302312
98,dunedin,62,47,-45.87,170.5,60.01,14.0,NZ,1595302312
99,severo-kurilsk,42,79,50.68,156.12,54.1,1.66,RU,1595302312
100,bredasdorp,28,100,-34.53,20.04,53.6,6.93,ZA,1595302073
101,vaini,20,64,-21.2,-175.2,75.2,9.17,TO,1595302069
102,santarem,40,100,-2.44,-54.71,75.2,2.24,BR,1595302312
103,bocas del toro,100,100,9.33,-82.25,63.0,4.12,PA,1595302312
104,ayorou,14,46,14.73,0.92,88.48,14.18,NE,1595302312
105,plainview,40,68,40.78,-73.47,84.99,9.51,US,1595302313
106,bethlehem,40,94,-1.46,-48.5,75.2,4.7,BR,1595302108
107,nago,1,70,26.59,127.98,89.6,9.17,JP,1595302313
108,souillac,75,49,-20.52,57.52,69.8,13.87,MU,1595302313
109,luderitz,0,34,-26.65,15.16,62.6,3.36,NA,1595302313
110,yulara,90,58,-25.24,130.99,59.0,12.75,AU,1595302313
111,pevek,22,56,69.7,170.31,48.6,4.5,RU,1595302025
112,torit,18,95,4.41,32.57,66.36,2.55,SS,1595302313
113,aklavik,75,70,68.22,-135.01,48.2,10.29,CA,1595302313
114,faya,100,77,18.39,42.45,66.2,3.74,SA,1595302314
115,doha,45,53,25.29,51.53,96.8,3.36,QA,1595302290
116,urengoy,94,71,65.97,78.37,59.45,14.29,RU,1595302314
117,nikolskoye,99,87,59.7,30.79,62.01,2.33,RU,1595302314
118,amapa,1,97,1.0,-52.0,70.0,1.68,BR,1595302314
119,pisco,0,87,-13.7,-76.22,57.0,4.7,PE,1595302105
120,coruripe,72,80,-10.13,-36.18,72.77,12.1,BR,1595302315
121,georgetown,20,79,5.41,100.34,87.8,4.7,MY,1595302315
122,lavrentiya,100,79,65.58,-171.0,46.45,3.91,RU,1595302315
123,seabra,80,94,-12.42,-41.77,59.5,4.81,BR,1595302315
124,kanker,100,66,20.27,81.49,85.59,11.48,IN,1595302315
125,denia,0,79,38.84,0.11,75.0,3.0,ES,1595302292
126,erzurum,0,81,40.0,41.5,46.4,3.36,TR,1595302316
127,los llanos de aridane,75,73,28.66,-17.92,71.6,21.92,ES,1595302109
128,san cristobal,100,86,7.77,-72.22,65.34,3.78,VE,1595302316
129,kizner,5,87,56.27,51.51,64.71,4.7,RU,1595302316
130,rundu,0,58,-17.93,19.77,45.23,4.72,NA,1595302316
131,nuuk,100,87,64.18,-51.72,51.8,1.12,GL,1595302316
132,san felipe,81,87,10.34,-68.74,72.34,3.65,VE,1595302317
133,mount gambier,90,76,-37.83,140.77,53.6,8.05,AU,1595302102
134,bethel,1,83,41.37,-73.41,73.99,4.72,US,1595302095
135,port hedland,0,21,-20.32,118.57,80.6,14.99,AU,1595302317
136,cape town,0,66,-33.93,18.42,62.01,9.17,ZA,1595302317
137,grindavik,20,87,63.84,-22.43,44.6,1.74,IS,1595302317
138,bairiki,75,78,1.33,172.98,82.4,2.24,KI,1595302317
139,mirnyy,90,100,62.54,113.96,57.2,6.71,RU,1595302318
140,mehamn,95,93,71.04,27.85,55.4,2.24,NO,1595302108
141,barcelos,16,93,41.54,-8.62,70.0,4.34,PT,1595302130
142,albany,3,89,42.6,-73.97,77.0,4.76,US,1595302065
143,lazaro cardenas,9,86,17.96,-102.2,80.01,4.61,MX,1595302318
144,belmonte,20,69,-15.86,-38.88,75.2,10.29,BR,1595302318
145,bilibino,16,26,68.05,166.44,75.96,4.74,RU,1595302318
